0 0 *Sandb* *Boiler* 0.0
1 0 *Sandb* *Hall* 0.0
2 0 *Sandb* *Living Room North* 0.0
3 0 *Sandb* *Living Room South* 0.0
4 0 *Sandb* *Main Bedroom* 0.0
5 0 *Sandb* *Spare Bedroom* 0.0
6 0 *Sandb* *Kitchen* 0.0
7 0 *Sandb* *Porch* 0.0
10 0 *Workshop* *Boiler* 0.0
11 0 *Workshop* *Foyer* 0.0
12 0 *Workshop* *Tackroom* 0.0
13 0 *Workshop* *Office* -1.4
14 0 *Workshop* *Workshop* -2.3
15 0 *Workshop* *Chemistry Lab* -2.4
16 0 *Workshop* *Electronics Lab* -1.6
